,,No Data Preprocessing,,,Using Normalization,,,Using Transform,,,Using PCA,,,Using T + N,,,Using T + N + PCA,,
,Parameters,C = 3,C = 4,C = 5,C = 3,C = 4,C = 5,C = 3,C = 4,C = 5,C = 3,C = 4,C = 5,C = 3,C = 4,C = 5,C = 3,C = 4,C = 5
K-Means Clustering,Silhouette,0.2829252335875480,0.2806762340509390,0.27854074661790200,0.04516698501969640,-0.009402235851495290,-0.020176577974209600,0.07354900940847840,0.04395800875644830,0.02732585459997740,0.2829252335875480,0.2806762340509390,0.27854074661790200,0.04087111990258490,0.005898563418762670,-0.057213392424651400,0.04087111990258490,0.005898563418762670,-0.057213392424651400
,Calinski-Harabasz,191.3458897447430,173.75137700308000,166.74140861181600,22.960881555399000,8.400352542879840,10.910790259983700,23.50251184815700,17.20464760863710,13.28917421234060,191.3458897447430,173.75137700308000,166.74140861181600,23.006960635772200,13.417534877698000,10.452848909308500,23.006960635772200,13.417534877698000,10.452848909308500
,Davies-Bouldins,1.151520125438290,1.0637055975938600,1.0545077877769400,3.3379248449066500,5.958973471185660,8.243678717168260,2.9684242685532000,3.839391166069910,4.737602536611490,1.151520125438290,1.0637055975938600,1.0545077877769400,3.3909213592213600,4.93897518857621,5.35686539645259,3.3909213592213600,4.93897518857621,5.35686539645259
Hierarchical Clustering,Silhouette,0.242219779521364,0.2517902782990360,0.19958814317329300,0.027073163962565400,-0.017099802119413000,-0.024597693233136000,0.07267563028189170,0.04066737974067710,0.035639163916700600,0.242219779521364,0.2517902782990360,0.19958814317329300,0.004718311286794890,-0.03218157281771830,-0.03604887675973880,0.004718311286794890,-0.03218157281771830,-0.03604887675973880
,Calinski-Harabasz,169.90264047453100,151.2248816876360,142.68468577578800,10.949110126378400,8.381465086213190,7.861120860352630,23.801669400193700,17.355506039655900,13.85015337910030,169.90264047453100,151.2248816876360,142.68468577578800,6.039780971672060,6.669667943192160,6.721920340989860,6.039780971672060,6.669667943192160,6.721920340989860
,Davies-Bouldins,1.278892057161450,1.148265586483520,1.3001200269749300,5.309832428816960,6.202112909875370,5.6296228396034300,2.83425677728626,4.215775485889990,4.600961999361370,1.278892057161450,1.148265586483520,1.3001200269749300,5.940081331647990,7.287689955351570,7.730521844418850,5.940081331647990,7.287689955351570,7.730521844418850
BIRCH Clustering,Silhouette,0.242219779521364,0.2517902782990360,0.19958814317329300,0.014566285650123200,-0.034091013961538600,-0.048895341678051900,0.07267563028189170,0.04066737974067710,0.035639163916700600,0.242219779521364,0.2517902782990360,0.19958814317329300,0.013285302910635600,-0.020088904857724700,-0.026549374106926400,0.013285302910635600,-0.020088904857724700,-0.026549374106926400
,Calinski-Harabasz,169.90264047453100,151.2248816876360,142.68468577578800,8.582734722712910,6.870633487222520,6.959543584877060,23.801669400193700,17.355506039655900,13.85015337910030,169.90264047453100,151.2248816876360,142.68468577578800,7.673619130044440,6.672919769634490,6.227607882286000,7.673619130044440,6.672919769634490,6.227607882286000
,Davies-Bouldins,1.278892057161450,1.148265586483520,1.3001200269749300,5.5750857579935900,5.435949581914570,4.9530213371307600,2.83425677728626,4.215775485889990,4.600961999361370,1.278892057161450,1.148265586483520,1.3001200269749300,5.810771346973070,7.287971147010160,6.702887765703280,5.810771346973070,7.287971147010160,6.702887765703280
OPTICS Clustering,Silhouette,-0.35093311135138500,-0.35093311135138500,-0.35093311135138500,-0.28955580676598900,-0.28955580676598900,-0.28955580676598900,-0.33742559690316500,-0.33742559690316500,-0.33742559690316500,-0.35093311135138500,-0.35093311135138500,-0.35093311135138500,-0.3282012537266940,-0.3282012537266940,-0.3282012537266940,-0.3282012537266940,-0.3282012537266940,-0.3282012537266940
,Calinski-Harabasz,4.0688132510623500,4.0688132510623500,4.0688132510623500,2.7690504711101500,2.7690504711101500,2.7690504711101500,1.8415495957805100,1.8415495957805100,1.8415495957805100,4.0688132510623500,4.0688132510623500,4.0688132510623500,2.4825330120927100,2.4825330120927100,2.4825330120927100,2.4825330120927100,2.4825330120927100,2.4825330120927100
,Davies-Bouldins,2.3610656990261200,2.3610656990261200,2.3610656990261200,5.9891400200373300,5.9891400200373300,5.9891400200373300,9.461864851765500,9.461864851765500,9.461864851765500,2.3610656990261200,2.3610656990261200,2.3610656990261200,4.7766755149109800,4.7766755149109800,4.7766755149109800,4.7766755149109800,4.7766755149109800,4.7766755149109800